"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XWDB8YGG","journalArticle","2018","Filbee-Dexter, Karen; Symons, Celia C.; Jones, Kristal; Haig, Heather A.; Pittman, Jeremy; Alexander, Steven; Burke, Matthew J.","Quantifying ecological and social drivers of ecological surprise","Journal of Applied Ecology","","","10.1111/1365-2664.13171","http://doi.wiley.com/10.1111/1365-2664.13171","A key challenge facing ecologists and ecosystem managers is understanding what drives unexpected shifts in ecosystems and limits the effectiveness of human interventions. Research that integrates and analyses data from natural and social systems can provide important insight for unravelling the complexity of these dynamics. It is, therefore, a critical step towards the development of evidence‐based, whole‐system management approaches. To examine our ability to influence ecosystems that are behaving in unexpected ways, we explore three prominent cases of “ecological surprise.” We captured the social‐ecological systems (SES) using key variables and interactions from Ostrom's SES framework, which integrates broader ecosystem processes (e.g. climate, connectivity), management variables (e.g. quotas, restrictions, monitoring), resource use behaviours (e.g. harvesting) and the resource unit (e.g. trees, fish, clean water) being managed. Structural equation modelling revealed that management interventions often influenced resource use behaviours (e.g. rules and limits strongly affected harvest or pollution), but they did not have a significant effect on the abundance of the managed resource. Instead, most resource variability was related to ecological processes and feedbacks operating at broader spatial or temporal scales than management interventions, which locked the resource system into the degraded state. Synthesis and applications. Mismatch between the influence of management systems and ecosystem processes can limit the effectiveness of human interventions during periods of ecological surprise. Management strategies should shift from a conventional focus on removal or addition of a single resource towards solutions that influence the broader ecosystem. Operationalizing Ostrom's framework to quantitatively analyse social‐ecological systems using structural equation models shows promise for testing solutions to navigate these events.","2018-05","2020-11-17 20:35:01","2023-12-07 17:41:21","","2135–2146","","5","55","","","","","","","","","","","","","","","","","10 citations (Crossref) [2023-12-07] Publisher: John Wiley & Sons, Ltd (10.1111)","","/Users/nah093/Zotero/storage/XDIDDR7H/Filbee-Dexter et al. - 2018 - Quantifying ecological and social drivers of ecological surprise.pdf; /Users/nah093/Zotero/storage/DR67B2A8/Filbee-Dexter et al. - 2018 - Quantifying ecological and social drivers of ecolo.pdf","","2014T9-005; 2018; F:Socio-Environmental Resilience; Grad Pursuit; K:ecological surprise; K:eutrophication; K:fishery collapse; K:mountain pine beetle; K:natural resource management; K:social–ecological systems; K:spatial temporal mismatch; K:structural equation model; sesync acknowledgment; Staff; T:Landscapes at Risk; T:Resilience; T:Socio-Environmental Systems; Year 4","","Garcia, Cristina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VK6QJ7RP","journalArticle","2017","Kent Kovacs; Robert G. Haight; Grant West","Protected area designation, natural amenities, and rural development of forested counties in the continental United States","Growth and Change","","","10.1111/grow.12192","http://doi.wiley.com/10.1111/grow.12192","Policy makers who wish to spur economic development in rural forests face challenges that include population decline and poverty. Protected land and natural amenities enhance the quality of life and prospects for economic development, but there is limited research on how different types of protected land or natural amenities affect the rural forest economy. We use county level variables for protected areas differentiated by access and extractive use, and natural amenities differentiated by climate, water area, and topography to explain spatial variation in labor and built space markets. Results show that temperate summers and water area increase wages and housing prices and explain more than 30 percent of the spatial differences in wages, housing price, employment density, built space percent, human capital, and local road density. Protected area decreases wages, but, if open access, increase housing prices and human capital and explain more than 20 percent of the spatial differences in human capital, built space percent, and local road density.","2017-01","2020-11-17 20:35:17","2023-12-07 17:41:20","","","","","","","","","","","","","","","","","","","","","","2 citations (Crossref) [2023-12-07]","","/Users/nah093/Zotero/storage/HTRWHLGY/Kovacs et al. - 2017 - Protected Area Designation, Natural Amenities, and.pdf; /Users/nah093/Zotero/storage/FHIICLTW/grow.html","","2012T1-006; 2017; F:Built Environment; no acknowledgment; Pursuit; T:Economics; T:Human Geography; T:Social Science; T:Urban Planning & Green Infrastructure; Year 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XZGJTBTD","journalArticle","2015","Susan Clayton; Patrick Devine-Wright; Paul C. Stern; Lorraine Whitmarsh; Amanda Carrico; Linda Steg; Janet Swim; Mirilia Bonnes","Psychological research and global climate change","Nature Climate Change","","","10.1038/nclimate2622","http://www.nature.com/doifinder/10.1038/nclimate2622","Human behaviour is integral not only to causing global climate change but also to responding and adapting to it. Here, we argue that psychological research should inform efforts to address climate change, to avoid misunderstandings about human behaviour and motivations that can lead to ineffective or misguided policies. We review three key research areas: describing human perceptions of climate change; understanding and changing individual and household behaviour that drives climate change; and examining the human impacts of climate change and adaptation responses. Although much has been learned in these areas, we suggest important directions for further research.","2015-06","2020-11-17 20:35:22","2023-12-07 17:41:20","","640–646","","7","5","","","","","","","","","","","","","","","","","331 citations (Crossref) [2023-12-07] Publisher: Nature Research","","/Users/nah093/Zotero/storage/XVZKG9MD/nclimate2622.html","","F:Socio-Environmental Resilience; sesync acknowledgment; 2012F-005; 2015; Foundation; K:adaptation; K:behavior; K:Behaviors; T:Climate Change; T:Psychology; T:Sociology; T:Sustainability; Year 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFGU4TET","journalArticle","2018","Florian Gollnow; Leticia de Barros Viana Hissa; Philippe Rufin; Tobia Lakes","Property-level direct and indirect deforestation for soybean production in the Amazon region of Mato Grosso, Brazil","Land Use Policy","","","10.1016/j.landusepol.2018.07.010","https://www.sciencedirect.com/science/article/pii/S0264837717306919?_rdoc=1&_fmt=high&_origin=gateway&_docanchor=&md5=b8429449ccfc9c30159a5f9aeaa92ffb&utm_source=SESYNC+July+2018+Newsletter&utm_campaign=July+2018+Newsletter&utm_medium=email","Brazil's Soy Moratorium solidified the world's largest traders' commitment to stop soybean purchases from production areas deforested after July 2006. The aim was to remove deforestation from the soybean supply-chain and halt one of the main drivers of forest loss in the Amazon biome. In this study, we investigated changes in deforestation at the property-level for the period 2004 to 2014. The objective was to examine direct and indirect deforestation, defined as on-property displacement and cross-parcel displacement deforestation for soybean expansion in the Amazon region of Mato Grosso, the leading soy-producing state of the Brazilian Amazon. We used publicly available property and land use data to quantify deforestation associated with cropland expansion. Similar to previous studies, we found that direct deforestation for soybean expansion declined following the implementation of the Soy Moratorium. Moreover, our analysis suggest that indirect deforestation occurred already before the implementation of the Soy Moratorium, and decreased following the first period of analyses. However, slight increases of indirect deforestation in the more recent periods, combined with decreasing direct deforestations rendered indirect deforestation to be responsible for more than half of the deforestation associated with soybean expansion. While we acknowledge the overall reduction of deforestation for soybean, our results suggest, given the increasing trends of deforestation in the Brazilian Amazon since 2013, to address indirect deforestation within the Soy Moratorium. This may be achieved by zero-property-deforestation commitments and by strengthening the integration between supply-chain actors, the soybean and beef purchasing companies and the federal policies aiming to control deforestation.","2018-11","2020-11-17 20:30:31","2023-12-07 17:41:20","","377–385","","","78","","","","","","","","","","","","","","","","","58 citations (Crossref) [2023-12-07] Publisher: Pergamon","","/Users/nah093/Zotero/storage/Q8P8JRYX/S0264837717306919.html","","2018; sesync acknowledgment; T:Landscapes at Risk; T:Sustainability; 2016C13-002; 2018PF-038; F:Land & Human Dynamics; K:Deforestation free supply-chain; K:Displacement; K:Forest governance; K:Land use change; K:Leakage; K:Soy Moratorium; K:Sustainable supply-chain; K:Zero-deforestation; Postdoc; reported to NSF; T:Agriculture; T:Forests, Grasslands, & Other Terrestrial Lands; Year 5; Year 8 (FG)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DT9SXXGV","journalArticle","2018","Cynthia Wei; Minna Brown; Meghan Wagner","Pursuing the promise of case studies for sustainability and environmental education: Converging initiatives","Case Studies in the Environment","","","10.1525/cse.2018.001065","http://cse.ucpress.edu/lookup/doi/10.1525/cse.2018.001065","Today’s global environmental problems defy simple solutions and are often characterized as “wicked,” signaling that we have arrived at a moment in human history when we can no longer proceed with business as usual. In higher education, changes in approaches to teaching, learning, and research are needed to address these wicked problems. In particular, bridging disciplinary divides and the divide between research and practice are essential to find feasible solutions. These transformations require engaging practitioners from outside university communities, as practiced in transdisciplinary research.They also require equipping students with the necessary competencies to engage in truly integrative, interdisciplinary work. Although interdisciplinary and transdisciplinary works are on the rise, these approaches still run counter to traditional research practices that necessarily impose boundaries due to the disciplinary structure of most academic institutions, from metrics for success, to the way that we teach. Despite general agreement on the direction the ongoing transformations in society and scholarship should lead, the pedagogical approaches required to achieve this vision have been less defined. Broadly, there is clarity on the need to shift away from the strict lecture-based approach that has been the predominant instructional method in higher education for centuries and toward the increased use of active learning methods, which have been shown to produce better student outcomes. While some instructors continue to see a role for lectures in higher education, the call to move toward active learning has gathered momentum over the last decade, particularly in STEM (Science, Technology, Engineering, and Mathematics) fields such as biology. Within the broad approach of active learning, however, there is less clarity on best practices and methods for teaching about complex environmental problems. The fact that each of our organizations has independently invested in developing case studies and focused our attention on case study teaching is noteworthy: our collective convergence reflects a broader recognition of case studies as a promising approach. As articulated by Editor-in-Chief, Dr. Wil Burns, in the prospectus for this journal, case studies are a natural fit for the inductive way that most students learn. They also promote critical thinking and give students opportunities to practice defining a problem, recognizing stakeholders, and crafting solutions. These are all critical elements for effective teaching about complex environmental problems, and therefore, case studies offer great promise for educating and training environmental problem solvers. In this commentary, we introduce each of our efforts to develop case study teaching materials and pedagogies, and we highlight common challenges, solutions, and lessons learned from our collective experiences in leading our respective initiatives.","2018-04","2020-11-17 20:30:31","2023-12-07 17:41:20","","","","","","","","","","","","","","","","","","","","","","6 citations (Crossref) [2023-12-07] Publisher: University of California Press Journals","","/Users/nah093/Zotero/storage/H9YRUQ2G/Wei et al. - 2018 - Pursuing the Promise of Case Studies for Sustainab.pdf; /Users/nah093/Zotero/storage/HHM75TF8/Pursuing-the-Promise-of-Case-Studies-for.html","","2018; sesync acknowledgment; Staff; Year 1; T:Sustainability; reported to NSF; 2017SC-021; C:Case Study; F:Facilitating Interdisciplinary Socio-Environmental Science & Teams; F:Support for Teaching & Training; Short Course; T:Education/Pedagogy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEYMH4NM","journalArticle","2019","Mousumi Ghosh-Harihar; Ruby An; Ramana Athreya; Udayan Borthakur; Pranav Chanchani; Dilip Chetry; Aparajita Datta; Abishek Harihar; Krithi K. Karanth; Dincy Mariyam; Dhananjai Mohan; Malvika Onial; Uma Ramakrishnan; V.V. Robin; Ajai Saxena; Ghazala Shahabuddin; Prachi Thatte; Varsha Vijay; Kristen Wacker; Vinod B. Mathur; Stuart L. Pimm; Trevor D. Price","Protected areas and biodiversity conservation in India","Biological Conservation","","","10.1016/J.BIOCON.2019.06.024","https://www.sciencedirect.com/science/article/pii/S0006320719302927#ac0005","Three well-supported generalizations in conservation biology are that developing tropical countries will experience the greatest biodiversity declines in the near future, they are some of the least studied areas in the world, and in these regions especially, protection requires local community support. We assess these generalizations in an evaluation of protected areas in India. The 5% of India officially protected covers most ecoregions and protected areas have been an important reason why India has suffered no documented species extinctions in the past 70 years. India has strong legislation favouring conservation, government investment focused on 50 Tiger Reserves, and government compensation schemes that facilitate local support, all of which brighten future prospects. However, many protected areas are too small to maintain a full complement of species, making connectivity and species use of buffer zones a crucial issue. Conservation success and challenges vary across regions according to their development status. In less developed areas, notably the biodiverse northeast Himalaya, protected areas maintaining the highest biodiversity result from locally-focused efforts by dedicated individuals. Across India, we demonstrate considerable opportunities to increase local income through ecotourism. Our evaluation confirms a lack of data, increasing threats, and the importance of local support. Research on biodiversity in buffer zones, development of long-term monitoring schemes, and assessment of cash and conservation benefits from tourism are in particular need. For policy makers, two main goals should be the development of monitoring plans for ‘eco-sensitive zones' around protected areas, and a strong emphasis on preserving established protected areas.","2019-09","2020-11-17 20:30:13","2023-12-07 17:41:20","","114–124","","","237","","","","","","","","","","","","","","","","","73 citations (Crossref) [2023-12-07] Publisher: Elsevier","","/Users/nah093/Zotero/storage/6XXRX9MU/Ghosh-Harihar et al. - 2019 - Protected areas and biodiversity conservation in India.pdf; /Users/nah093/Zotero/storage/V5P3B7F2/S0006320719302927.html","","sesync acknowledgment; Postdoc; reported to NSF; 2018PF-043; 2019; F:Biodiversity; F:Ecosystem Services; K:biodiversity; K:Ecotourism; K:Edge expansion; K:Local community; K:Northeast India; K:Tiger Reserves; T:Conservation; T:Natural Resource Management; Year 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZKXDXKR","journalArticle","2018","Steven Gray; Alexey Voinov; Michael Paolisso; Rebecca Jordan; Todd BenDor; Pierre Bommel; Pierre Glynn; Beatrice Hedelin; Klaus Hubacek; Josh Introne; Nagesh Kolagani; Bethany Laursen; Christina Prell; Laura Schmitt Olabisi; Alison Singer; Eleanor Sterling; Moira Zellner","Purpose, processes, partnerships, and products: Four Ps to advance participatory socio-environmental modeling","Ecological Applications","","","10.1002/eap.1627","http://doi.wiley.com/10.1002/eap.1627","Including stakeholders in environmental model building and analysis is an increasingly popular approach to understanding ecological change. This is because stakeholders often hold valuable knowledge about socio-environmental dynamics and collaborative forms of modeling produce important boundary objects used to collectively reason about environmental problems. Although the number of participatory modeling (PM) case studies and the number of researchers adopting these approaches has grown in recent years, the lack of standardized reporting and limited reproducibility have prevented PM's establishment and advancement as a cohesive field of study. We suggest a four-dimensional framework (4P) that includes reporting on dimensions of (1) the Purpose for selecting a PM approach (the why); (2) the Process by which the public was involved in model building or evaluation (the how); (3) the Partnerships formed (the who); and (4) the Products that resulted from these efforts (the what). We highlight four case studies that use common PM software-based approaches (fuzzy cognitive mapping, agent-based modeling, system dynamics, and participatory geospatial modeling) to understand human–environment interactions and the consequences of ecological changes, including bushmeat hunting in Tanzania and Cameroon, agricultural production and deforestation in Zambia, and groundwater management in India. We demonstrate how standardizing communication about PM case studies can lead to innovation and new insights about model-based reasoning in support of ecological policy development. We suggest that our 4P framework and reporting approach provides a way for new hypotheses to be identified and tested in the growing field of PM.","2018-01","2020-11-17 20:35:08","2023-12-07 17:41:20","","46–61","","1","28","","","","","","","","","","","","","","","","","67 citations (Crossref) [2023-12-07]","","/Users/nah093/Zotero/storage/ZPDWVN9R/Gray et al. - 2018 - Purpose, processes, partnerships, and products fo.pdf; /Users/nah093/Zotero/storage/5SX2JSX3/eap.html","","2018; Year 4; no acknowledgment; Pursuit; 2015T11-012; F:Socio-Environmental Modeling; K:agent-based modeling; K:collaborative modeling; K:learning; K:participatory GIS; K:public participation; K:stakeholder collaboration; K:system dynamics; T:Anthropology/Human Ecology; T:Synthesis Research; T:Theoretical/Conceptual Frameworks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4H6IW8XN","journalArticle","2019","Patricia Prado; Carles Alcaraz; Xavier Benito-Granell; Nuno Caiola; Carles Ibáñez","Pristine vs. human-altered Ebro Delta habitats display contrasting resilience to RSLR","Science of the Total Environment","","18791026","10.1016/j.scitotenv.2018.11.318","","River deltas are ecologically and economically valuable coastal ecosystems but low elevations make them extremely sensitive to relative sea level rise (RSLR), i.e. the combined effects of sea level rise and subsidence. Most deltas are subjected to extensive human exploitation, which has altered the habitat composition, connectivity and geomorphology of deltaic landscapes. In the Ebro Delta, extensive wetland reclamation for rice cultivation over the last 150 years has resulted in the loss of 65% of the natural habitats. Here, we compare the dynamics of habitat shifts under two departure conditions (a simulated pristine delta vs. the human-altered delta) using the Sea Level Affecting Marshes Model (SLAMM) under the 4.5 and 8.5 RCP (Representative Concentration Pathways) scenarios for evaluating their resilience to RSLR (i.e. resistance to inundation). Results showed lower inundation rates in the human delta (∼10 to 22% by the end of the century, depending on RCP conditions), mostly due to ∼4.5 times lower initial extension of coastal lagoons compared to the pristine delta. Yet, inundation rates from ∼15 to 30% of the total surface represent the worst possible human scenario, assuming no flooding protection measures. Besides, accretion rates within rice fields are disregarded since this option is not available in SLAMM for developed dry land. In the human delta, rice fields were largely shifted to other wetland habitats and experienced the highest reductions, mostly because of their larger surface. In contrast, in the pristine delta most of the habitats showed significant decreases by 2100 (∼2 to 32% of the surface). Coastal infrastructures (dykes or flood protection dunes) and reintroduction of riverine sediments through irrigation channels are proposed to minimize impacts of RSLR. In the worst RCP scenarios, promoting preservation of natural habitats by transforming unproductive rice fields into wetlands could be the most sustainable option.","2019-03","2020-11-17 20:30:00","2023-12-07 17:41:19","","1376–1386","","","655","","","","","","","","","","","","","","","","","12 citations (Crossref) [2023-12-07] Publisher: Elsevier B.V. PMID: 30577129","","/Users/nah093/Zotero/storage/SERSTS9H/Prado et al. - 2019 - Pristine vs. human-altered Ebro Delta habitats display contrasting resilience to RSLR.pdf","","sesync acknowledgment; T:Landscapes at Risk; T:Resilience; F:Land & Human Dynamics; Postdoc; reported to NSF; 2019; Year 8; 2018PF-044; K:Accretion rates; K:Ebro Delta; K:Habitat switch; K:Rice fields; K:SLAMM; T:Lakes, Rivers, Streams, & Wetlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IVBX3ZE","journalArticle","2020","Christopher G. Boone; Steward T.A. Pickett; Gabriele Bammer; Kamal Bawa; Jennifer A. Dunne; Iain J. Gordon; David Hart; Jessica Hellmann; Alison Miller; Mark New; Jean P. Ometto; Ken Taylor; Gabriele Wendorf; Arun Agrawal; Paul Bertsch; Colin Campbell; Paul Dodd; Anthony Janetos; Hein Mallee","Preparing interdisciplinary leadership for a sustainable future","Sustainability Science","","18624057","10.1007/s11625-020-00823-9","","Urgent sustainability challenges require effective leadership for inter- and trans-disciplinary (ITD) institutions. Based on the diverse experiences of 20 ITD institutional leaders and specific case studies, this article distills key lessons learned from multiple pathways to building successful programs. The lessons reflect both the successes and failures our group has experienced, to suggest how to cultivate appropriate and effective leadership, and generate the resources necessary for leading ITD programs. We present two contrasting pathways toward ITD organizations: one is to establish a new organization and the other is to merge existing organizations. We illustrate how both benefit from a real-world focus, with multiple examples of trajectories of ITD organizations. Our diverse international experiences demonstrate ways to cultivate appropriate leadership qualities and skills, especially the ability to create and foster vision beyond the status quo; collaborative leadership and partnerships; shared culture; communications to multiple audiences; appropriate monitoring and evaluation; and perseverance. We identified five kinds of resources for success: (1) intellectual resources; (2) institutional policies; (3) financial resources; (4) physical infrastructure; and (5) governing boards. We provide illustrations based on our extensive experience in supporting success and learning from failure, and provide a framework that articulates the major facets of leadership in inter- and trans-disciplinary organizations: learning, supporting, sharing, and training.","2020-05","2020-11-17 20:30:01","2023-12-07 17:41:19","","1–11","","","","","","","","","","","","","","","","","","","","16 citations (Crossref) [2023-12-07] Publisher: Springer","","/Users/nah093/Zotero/storage/QLK4M9KZ/Boone et al. - 2020 - Preparing interdisciplinary leadership for a susta.pdf","","sesync acknowledgment; T:Sustainability; reported to NSF; F:Facilitating Interdisciplinary Socio-Environmental Science & Teams; F:Support for Teaching & Training; T:Synthesis Research; T:Theoretical/Conceptual Frameworks; 2018W-074; 2020; K:interdisciplinary organization; K:leadership; K:lessons learned; K:Transdisciplinary; T:Team Science & Collaborations; Workshop; Year 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY7LRAK6","journalArticle","2020","Paras Bikram Singh; Kumar Mainali; Zhigang Jiang; Arjun Thapa; Naresh Subedi; Awan, Muhammad Naeem; Orus Ilyas; Himal Luitel; Zhou, Zhixin; Huijian Hu","Projected distribution and climate refugia of endangered Kashmir musk deer Moschus cupreus in greater Himalaya, South Asia","Scientific Reports","","20452322","10.1038/s41598-020-58111-6","","Kashmir musk deer Moschus cupreus (KMD) are the least studied species of musk deer. We compiled genetically validated occurrence records of KMD to construct species distribution models using Maximum Entropy. We show that the distribution of KMD is limited between central Nepal on the east and north-east Afghanistan on the west and is primarily determined by precipitation of driest quarter, annual mean temperature, water vapor, and precipitation during the coldest quarter. Precipitation being the most influential determinant of distribution suggests the importance of pre-monsoon moisture for growth of the dominant vegetation, Himalayan birch Betula utilis and Himalayan fir Abies spectabilis, in KMD's preferred forests. All four Representative Concentration Pathway Scenarios result an expansion of suitable habitat in Uttarakhand, India, west Nepal and their associated areas in China in 2050s and 2070s but a dramatic loss of suitable habitat elsewhere (Kashmir region and Pakistan-Afghanistan border). About 1/4th of the current habitat will remain as climate refugia in future. Since the existing network of protected areas will only include a tiny fraction (4%) of the climatic refugia of KMD, the fate of the species will be determined by the interplay of more urgent short-term forces of poaching and habitat degradation and long-term forces of climate change.","2020-12","2020-11-17 20:30:01","2023-12-07 17:41:19","","1–13","","1","10","","","","","","","","","","","","","","","","","18 citations (Crossref) [2023-12-07] Publisher: Nature Research PMID: 32001721","","","","T:Landscapes at Risk; no acknowledgment; T:Climate Change; F:Biodiversity; T:Conservation; 2020; T:Ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
